Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Body Battery,Sleep,stress
Running,2023-05-04 16:42:54,false,"Ostrava Running","7.02","418","00:46:14","144","175","3.1","148","221","6:35","3:43","21","85","1.07","--","--","--","6:41","--","--","202","0.0","183","277","6,872","No","00:00:06.9","8","00:44:39","01:55:29","205","280",50,400,24
Running,2023-04-26 16:45:17,false,"Ostrava Running","21.11","1,297","02:09:36","158","189","4.6","175","249","6:08","5:00","140","153","0.93","--","--","--","6:08","--","--","222","0.0","219","318","22,674","No","00:00:45.1","22","02:08:50","02:25:46","200","280",50,410,26
Running,2023-04-21 18:30:39,false,"Ostrava Running","16.01","1,007","01:40:34","156","183","4.0","170","249","6:17","4:54","118","126","0.94","--","--","--","6:16","--","--","220","0.0","217","375","17,118","No","00:00:05.2","17","01:40:00","01:47:53","205","280",43,410,20
Running,2023-04-18 17:52:49,false,"Ostrava Running","21.52","1,428","02:16:57","164","184","5.0","168","185","6:22","3:00","205","206","0.93","--","--","--","6:19","--","--","220","0.0","215","341","23,182","No","00:03:28.0","22","02:16:13","02:38:44","204","280",47,420,20
Running,2023-04-10 18:08:48,false,"Ostrava Running","2.01","150","00:21:49","129","159","1.4","110","230","10:51","6:27","69","9","0.85","--","--","--","10:11","--","--","142","0.0","113","262","2,476","No","00:00:01.0","5","00:20:42","00:21:52","225","294",36,380,41
Running,2023-04-10 15:37:36,false,"Ostrava Running","18.01","1,147","01:51:48","161","193","5.0","159","227","6:12","3:13","147","202","1.01","--","--","--","6:12","--","--","231","0.0","221","373","18,076","No","00:00:05.2","21","01:50:31","02:30:03","206","288",63,440,18
Running,2023-04-06 11:24:53,false,"Aachen Running","5.32","378","01:24:12","104","145","1.5","73","230","15:49","6:01","107","127","0.88","--","--","--","15:16","--","--","92","0.0","63","207","6,540","No","00:07:36.2","6","00:59:36","01:24:14","196","319",64,403,20
Running,2023-04-04 21:10:42,false,"Cologne Running","1.93","136","00:33:33","96","118","0.5","71","116","17:22","4:41","1","6","0.82","--","--","--","17:05","--","--","77","0.0","55","239","2,524","No","00:11:49","2","00:22:24","00:33:33","100","115",45,300,50
Running,2023-03-24 20:36:25,false,"Ostrava Running","9.00","569","00:53:51","147","164","--","314","--","5:59","--","108","111","--","--","--","--","--","78","85","--","0.0","--","--","--","No","00:53:51","1","00:53:51","00:58:47","203","286",63,460,14
Running,2023-03-08 16:26:10,false,"Ostrava Running","12.10","938","01:11:56","172","194","--","326","--","5:57","--","131","131","--","--","--","--","--","82","86","--","0.0","--","--","--","No","01:11:56","1","01:11:56","01:13:01","206","288",65,465,12
Running,2023-02-25 16:07:56,false,"Ostrava Running","10.01","782","01:05:22","164","185","--","316","--","6:32","--","118","122","--","--","--","--","--","74","85","--","0.0","--","--","--","No","01:05:22","1","01:05:22","01:12:12","206","286",43,440,22
Running,2023-02-21 16:44:58,false,"Ostrava Running","8.77","758","00:54:28","180","200","--","316","--","6:13","--","106","108","--","--","--","--","--","80","83","--","0.0","--","--","--","No","00:54:28","1","00:54:20","00:54:25","206","286",47,440,24
